"Plot","NORTHING","EASTING","Dist_year","Dist_hist","Yrs_P_Dist","NEAR_FID","NEAR_DIST","dem","tpi200","tpi1000","dc","dac","hli","rugg","crv","d2w","wind","windExp","northness","eastness","Part_incomplete","ST.parent","ST","VT","FG","texture","bedrock","stones","humus_thick","MR","NR","drainage","micro_relief","MottDepth","GleyDepth","CoarseFrags","CarbonTonnesPerHa","CarbonTotalKg","O_dep","AhTOT","AhTOTupl"
1,4975725,474841,NA,"no",0,1,122.331516789,69.0204162597656,-11.7726364135742,-20.8262786865234,32982.9296875,22296.353515625,0.751809477806091,6.65973854064941,0.000491000013425946,780,29116.185546875,4,-0.777362619795894,0.629052746074656,"no",12,"12","SH3","SH",1,0,0.5,10,5.5,3.5,5,4,8,200,15,NA,NA,0,8,8
2,4975847,474850,NA,"no",0,2,82.1522975942,89.5009078979492,-1.2926197052002,-0.807731628417969,33995.6875,22398.00390625,0.678870677947998,3.64219307899475,0.00151299999561161,1624,29035.271484375,4,-0.430131028944577,0.90276646921509,"no",6,"6","SH3","SH",1,0,0.5,12,4,3,4,2,8,200,42,NA,NA,0,0,0
3,4975917,474807,NA,"no",0,1,82.1522975942,106.68726348877,4.59444808959961,15.6459732055664,35167.92578125,22484.005859375,0.719633221626282,8.7276086807251,0.00167599995620549,909,29449.9765625,3,-0.666283910522752,0.745698163185688,"no",5,"5","SH3","SH",1,0,0.5,8,4.5,3.5,3.5,2,39,200,20,5.02,200.89,0,0,0
4,4975749,474262,NA,"no",0,2,570.306058183,112.630386352539,0.994029998779297,16.8104915618896,35174.6484375,22654.12890625,0.711095035076141,1.55432903766632,0.00112699996680021,132,28982.435546875,3,-0.889072129652064,0.457767133241285,"no",6,"6","IH7","IH",1,0,0.5,8,4.5,3.5,4,2,28,200,10,26.01,1040.37,0,0,0
5,4973468,466987,2002,"yes",18,5,111.400179533,174.131546020508,0.794910430908203,12.6831245422363,37613.49609375,23973.935546875,0.68685507774353,0.857856750488281,-0.000369999994290993,181,29623.228515625,2,-0.599016817218419,0.800736443962379,"no",6,"6","MW1","MW",1,0,0,13,5,2.5,5,4,3,200,21,7.79,311.59,0,0,0
6,4973499,466880,2002,"yes",18,4,111.400179533,174.481170654297,2.28219985961914,12.4275245666504,37664.8359375,24055.623046875,0.7155442237854,1.25722217559814,0.00100799999199808,228,28839.857421875,3,-0.199541215202832,-0.979889434291123,"no",6,"6","TH8","TH",1,0,0.5,13,5,2.5,5,2,3,200,21,7.25,289.82,0,0,0
7,4973748,467081,2010,"yes",10,4,295.357410606,177.640472412109,1.93148803710938,17.261833190918,37936.34765625,24148.275390625,0.676767230033875,0.323418200016022,-7.89999976404943e-05,189,29015.3046875,2,0.060696457981031,0.998156270324721,"no",7,"7","WC2","WC",1,0,0,12,6,1.5,6,4,0,16,22,NA,NA,0,0,0
8,4973129,466377,NA,"no",0,5,624.426937279,164.989379882812,-1.67981338500977,4.4366340637207,37377.08203125,24051.509765625,0.656465530395508,2.24977421760559,-0.00326799997128546,299,28338.677734375,3,-0.101965360773101,0.994787949867916,"no",6,"6","SH5a","SH",1,0,0,12,5,2.5,6,2,0,16,22,5.31,212.37,0,0,0
9,4988164,479086,NA,"no",0,9,722.789734293,126.278327941895,3.52876091003418,14.1039276123047,47573.50390625,31938.9609375,0.734766900539398,1.98585641384125,0.000835000013466924,492,26563.21875,2,-0.998825285398353,-0.0484566739355851,"no",11,"11","TH3","TH",1,0,0.5,8,4,4,4,4,31,200,15,3.41,136.3,0,7,7
10,4987484,479331,2006,"yes",14,8,722.789734293,85.3587799072266,-1.21419715881348,3.48723030090332,45215.12109375,31217.248046875,0.722083210945129,1.52394449710846,0.000479000009363517,154,26406.853515625,3,-0.907873388629253,-0.419244451625585,"no",6,"6","MW3","MW",1,0,0.5,9,4.5,3.5,5,2,26,200,30,12.07,482.6,0,0,0
11,4979417,428136,NA,"no",0,13,150.711645204,172.068405151367,-0.846027374267578,-8.87227249145508,21847.1328125,40695.16796875,0.507688403129578,6.45356559753418,-0.00104200001806021,1747,26924.857421875,4,0.865062519203904,0.501664068743812,"no",2,"2L","TH8","TH",2,0,2,9,4,4,4,4,200,200,15,3.61,144.32,0,0,0
12,4979605,428227,NA,"no",0,13,71.1125867902,138.252105712891,-6.62969207763672,-38.2907180786133,21179.927734375,40881.4296875,0.657290101051331,1.26152265071869,0.000339999998686835,42,25390.869140625,4,0.980223146541664,0.197895383937976,"no",7,"7","WC5","WC",1,0,0,26,6,4,6,2,0,0,20,19.14,765.49,25,0,0
13,4979115,428069,NA,"no",0,10,309.342851865,226.84944152832,4.89932632446289,38.5164527893066,21306.375,40381.5859375,0.653765857219696,2.69909238815308,0.00257800007238984,834,27813.849609375,2,0.988554843422904,-0.15086192874651,"no",15,"15","TH1a","TH",3,0,0.5,7,3,4,2,4,200,200,0,5.91,236.52,0,0,0
14,4979534,428231,NA,"no",0,11,71.1125867902,144.436935424805,-5.01169586181641,-34.2370147705078,21411.66015625,40812.39453125,0.640323519706726,2.64850807189941,0.000255999999353662,10,25194.546875,4,0.999970797805931,0.00764222057847487,"no",2,"2L","MW4","MW",2,0,0,10,3.5,3.5,4,4,200,200,35,15.1,604.05,0,0,0
15,4993433,507757,2002,"yes",18,15,48.6004115209,174.147338867188,-4.2978630065918,1.23753356933594,47721.6328125,32076.775390625,0.685779273509979,0.239073440432549,-0.000731999985873699,9,28019.041015625,3,-0.663797232799828,-0.747912584281941,"no",14,"14","WC11","WC",0,0,0,53,7,2,7,2,0,0,20,15.89,635.48,53,0,0
16,4993462,507796,2002,"yes",18,14,48.6004115209,177.150360107422,-4.15183258056641,3.51602172851562,47971.859375,32099.845703125,0.748742580413818,3.03398108482361,-0.00285300007089972,317,27930.384765625,3,-0.703929041718879,-0.710270303634286,"no",2,"2","MW1","MW",3,0,9,9,3.5,3,3,2,200,200,85,21.55,861.98,0,0,0
